Date,Open,High,Low,Close,Adj Close,Volume
2010-05-31,382.500000,387.500000,360.625000,371.149994,346.518921,103456
2010-06-01,377.575012,384.000000,367.250000,370.125000,345.561951,90676
2010-06-02,372.750000,377.424988,366.500000,369.924988,345.375153,53324
2010-06-03,377.500000,384.000000,371.149994,374.575012,349.716614,113276
2010-06-04,375.000000,382.500000,374.024994,377.000000,351.980652,42844
2010-06-07,373.000000,397.000000,365.575012,387.149994,361.457092,176490
2010-06-08,383.500000,393.475006,382.549988,387.799988,362.063904,85612
2010-06-09,385.200012,394.500000,385.200012,387.600006,361.877258,40958
2010-06-10,390.000000,390.000000,380.000000,380.975006,355.691895,67006
2010-06-11,386.950012,387.000000,382.000000,383.700012,358.236084,18976
2010-06-14,385.750000,388.500000,380.500000,382.450012,357.068970,18218
2010-06-15,387.000000,394.500000,381.600006,390.299988,364.397949,72564
2010-06-16,388.500000,394.000000,382.524994,385.100006,359.543091,27220
2010-06-17,384.000000,391.950012,384.000000,389.600006,363.744507,22066
2010-06-18,391.000000,397.500000,385.125000,386.649994,360.990234,41054
2010-06-21,386.649994,392.000000,383.000000,389.325012,363.487732,22836
2010-06-22,389.750000,390.125000,382.500000,385.825012,360.219940,18590
2010-06-23,387.500000,417.250000,383.549988,409.649994,382.463898,419594
2010-06-24,415.000000,417.500000,400.575012,403.950012,377.142120,247756
2010-06-25,404.000000,409.000000,390.600006,394.600006,368.412628,84312
2010-06-28,398.350006,398.350006,388.075012,392.500000,366.452026,38106
2010-06-29,392.350006,392.350006,378.000000,380.549988,355.295074,139684
2010-06-30,377.524994,381.500000,373.100006,375.500000,350.580231,103146
2010-07-01,372.549988,382.500000,371.049988,373.149994,348.386139,117424
2010-07-02,377.149994,379.000000,374.250000,375.875000,350.930359,34894
2010-07-05,376.500000,381.000000,374.000000,375.500000,350.580231,77836
2010-07-06,375.500000,376.450012,367.750000,368.575012,344.114746,167358
2010-07-07,368.500000,380.000000,365.174988,370.450012,345.865356,212222
2010-07-08,378.500000,379.500000,371.524994,372.875000,348.129456,48468
2010-07-09,370.049988,384.000000,370.049988,380.200012,354.968384,237176
2010-07-12,383.049988,393.600006,382.149994,388.149994,362.390717,132332
2010-07-13,387.924988,391.475006,380.024994,382.225006,356.858917,79736
2010-07-14,387.000000,389.899994,382.500000,385.200012,359.636505,45162
2010-07-15,381.500000,387.500000,381.450012,383.924988,361.732849,41086
2010-07-16,380.000000,393.500000,380.000000,388.500000,366.043427,104426
2010-07-19,385.000000,387.500000,381.725006,382.575012,360.460907,41280
2010-07-20,382.500000,387.000000,377.575012,378.524994,356.644989,67400
2010-07-21,378.049988,383.500000,377.549988,380.250000,358.270325,29842
2010-07-22,377.000000,382.475006,376.649994,382.075012,359.989868,26510
2010-07-23,386.750000,386.750000,378.049988,378.774994,356.880493,25266
2010-07-26,380.674988,393.250000,376.075012,378.674988,356.786316,153618
2010-07-27,385.274994,397.950012,381.100006,384.375000,362.156860,301994
2010-07-28,388.000000,394.250000,384.600006,385.924988,363.617279,50574
2010-07-29,384.500000,397.000000,382.049988,393.850006,371.084167,139732
2010-07-30,398.000000,398.950012,390.000000,392.024994,369.364685,114338
2010-08-02,390.000000,394.975006,385.000000,386.825012,364.465210,33622
2010-08-03,393.000000,399.549988,386.950012,391.700012,369.058502,104450
2010-08-04,394.975006,395.700012,390.250000,391.875000,369.223297,34778
2010-08-05,394.750000,399.850006,391.799988,397.450012,374.476105,109186
2010-08-06,395.500000,410.850006,393.000000,399.200012,376.124878,396158
2010-08-09,397.549988,407.399994,397.549988,403.149994,379.846649,74376
2010-08-10,403.149994,405.875000,395.000000,398.524994,375.488983,42146
2010-08-11,399.549988,402.250000,392.774994,395.149994,372.309021,63988
2010-08-12,395.500000,403.500000,393.500000,398.125000,375.112030,69942
2010-08-13,403.000000,409.500000,390.000000,392.575012,369.882904,113128
2010-08-16,393.500000,398.500000,386.750000,395.149994,372.309021,45174
2010-08-17,411.299988,424.975006,396.000000,398.100006,375.088531,223244
2010-08-18,403.000000,414.000000,399.000000,411.725006,387.926025,244546
2010-08-19,413.000000,415.000000,405.000000,412.049988,388.232178,95278
2010-08-20,409.000000,411.500000,405.049988,406.725006,383.214996,30946
2010-08-23,409.500000,418.475006,406.725006,409.450012,385.782410,108106
2010-08-24,411.500000,414.500000,401.174988,410.075012,386.371338,40630
2010-08-25,409.000000,413.700012,407.125000,409.100006,385.452759,53930
2010-08-26,409.000000,413.000000,405.000000,405.750000,382.296326,15594
2010-08-27,403.049988,413.950012,402.500000,404.024994,380.670959,39642
2010-08-30,401.500000,410.250000,400.000000,402.750000,379.469788,28310
2010-08-31,397.500000,405.950012,392.500000,403.875000,380.529694,51014
2010-09-01,409.000000,422.250000,404.549988,413.899994,389.975189,167950
2010-09-02,419.299988,419.350006,408.500000,411.200012,387.431274,54491
2010-09-03,412.000000,419.000000,410.000000,412.750000,388.891724,28495
2010-09-06,415.000000,415.500000,409.100006,410.500000,386.771698,16076
2010-09-07,411.500000,418.000000,409.200012,413.399994,389.504150,33433
2010-09-08,417.399994,420.000000,411.000000,417.049988,392.943146,49637
2010-09-09,417.049988,424.700012,415.049988,421.250000,396.900421,90974
