Date,Open,High,Low,Close,Adj Close,Volume
2010-02-17,153.000000,153.000000,148.961258,151.065002,132.277283,3695670
2010-02-18,151.875000,152.325012,149.422501,150.277512,131.587723,2161884
2010-02-19,148.950012,151.312500,148.050003,149.805008,131.174042,6404004
2010-02-22,150.075012,153.112503,149.670013,150.333755,131.636993,1973026
2010-02-23,150.052505,152.820007,148.725006,152.178757,133.252518,2459990
2010-02-24,152.550003,153.213760,150.468750,151.245010,132.434921,3630826
2010-02-25,152.325012,153.450012,149.658752,150.615005,131.883255,4269493
2010-02-26,150.997513,154.822510,149.625000,152.437500,133.479111,3247853
2010-03-02,151.875000,158.175003,151.875000,157.781250,138.158264,4761959
2010-03-03,158.625000,159.300003,155.778763,157.162506,137.616455,3764848
2010-03-04,156.937500,157.657501,155.137512,156.093750,136.680603,4168919
2010-03-05,156.375000,157.725006,153.686264,154.316254,135.124191,2876893
2010-03-08,154.575012,158.546249,154.316254,156.982513,137.458878,3681808
2010-03-09,157.950012,160.312515,157.500000,157.961258,138.315872,3298617
2010-03-10,157.950012,159.277512,156.060013,156.667511,137.183029,2338164
2010-03-11,157.950012,160.650009,157.275009,159.615005,139.763977,5008733
2010-03-12,160.830002,161.302505,159.165009,159.761261,139.892014,4257764
2010-03-15,160.875015,164.475006,159.300003,163.946259,143.556534,5955617
2010-03-16,164.475006,165.386261,162.506256,163.732513,143.369385,3453457
2010-03-17,165.150009,166.950012,164.227509,166.297501,145.615341,3013786
2010-03-18,167.625015,168.750015,162.945007,164.013763,143.615616,2429484
2010-03-19,164.677505,165.622513,162.922501,163.462509,143.132935,2365528
2010-03-22,161.932510,165.217514,160.875015,163.800003,143.428467,2236426
2010-03-23,162.000015,165.352509,161.583755,162.056259,141.901611,2657946
2010-03-25,160.875015,163.125015,159.750000,161.808762,141.684860,4689884
2010-03-26,163.350006,164.058762,160.256256,161.437515,141.359818,2677902
2010-03-29,161.550003,162.675003,159.637512,161.010010,140.985489,2924733
2010-03-30,159.750000,161.775009,156.453751,157.860001,138.227188,7368732
2010-03-31,157.950012,159.727509,157.365005,159.063751,139.281235,7914892
2010-04-01,159.975006,163.237503,159.300003,162.303757,142.118317,2857288
2010-04-05,162.675003,163.530014,160.436264,162.483765,142.275925,1734399
2010-04-06,163.125015,163.350006,159.828751,160.920013,140.906647,2053319
2010-04-07,162.000015,162.000015,159.075012,160.818756,140.817993,3555853
2010-04-08,160.875015,163.102509,159.750000,161.268753,141.212006,2790417
2010-04-09,161.550003,162.461258,159.345001,159.873764,139.990524,4552937
2010-04-12,160.875015,160.875015,156.555008,157.893753,138.256744,2721199
2010-04-13,157.950012,162.787506,157.500000,161.943756,141.803070,6431635
2010-04-15,162.382507,165.240005,161.696259,162.483765,142.275925,5804124
2010-04-16,162.483765,163.316254,161.550003,162.472504,142.266068,2071266
2010-04-19,161.325012,161.977509,157.747513,158.422501,138.719757,2075466
2010-04-20,159.075012,160.740005,155.778763,156.521255,137.054962,4356564
2010-04-21,157.387512,159.210007,154.822510,158.625000,138.897079,3227182
2010-04-22,158.152512,160.852509,156.948761,158.456253,138.749344,2748524
2010-04-23,160.931259,164.137512,155.272507,155.677505,136.316177,21525132
2010-04-26,156.375000,158.512512,155.992508,157.297501,137.734650,4132417
2010-04-27,158.625000,158.625000,156.262512,157.139999,137.596756,3931990
2010-04-28,156.150009,156.375000,154.575012,155.430008,136.099442,7746475
2010-04-29,155.925003,155.925003,153.483749,155.216263,135.912277,5770501
2010-04-30,156.375000,156.543762,150.750000,151.087509,132.297012,8268208
2010-05-03,150.502502,152.718750,148.500000,151.796249,132.917587,4421253
2010-05-04,153.315002,153.315002,147.915009,148.500000,130.031311,2279373
2010-05-05,147.375000,151.875000,145.665009,151.065002,132.277283,3073706
2010-05-06,150.975006,154.125000,147.375000,148.376251,129.922943,2770444
2010-05-07,146.250000,147.375000,141.975006,143.482513,125.637871,4716821
2010-05-10,146.025009,152.437500,144.033752,151.267502,132.454590,6111457
2010-05-11,152.100006,152.100006,147.881256,150.311264,131.617340,2796057
