Date,Open,High,Low,Close,Adj Close,Volume
2010-02-17,152.727264,154.127274,151.018188,152.899994,126.776543,28238435
2010-02-18,152.727264,155.090912,151.699997,152.736359,126.640869,25365791
2010-02-19,151.272720,152.181824,148.563629,151.554550,125.660988,18276038
2010-02-22,153.663635,154.545456,150.681824,151.199997,125.367020,12621301
2010-02-23,150.890915,154.909088,150.109085,154.136368,127.801659,20701076
2010-02-24,152.745453,153.800003,151.454544,152.936356,126.806686,17102217
2010-02-25,152.954544,155.963638,151.399994,154.836365,128.382095,23944123
2010-02-26,153.690903,161.272720,153.090912,158.572723,131.480042,35508192
2010-03-02,160.927277,164.181824,160.927277,163.118179,135.248901,28273393
2010-03-03,163.618179,165.909088,162.790909,165.154541,136.937378,25091231
2010-03-04,164.727264,166.281815,161.672729,163.345459,135.437363,17625426
2010-03-05,163.290909,165.272720,162.118179,163.954544,135.942398,14922803
2010-03-08,165.454544,168.509094,165.454544,167.954544,139.258957,32294977
2010-03-09,167.636368,169.927277,165.281815,168.209091,139.470032,34059690
2010-03-10,168.181824,169.000000,165.163635,166.872726,138.362000,22191510
2010-03-11,166.363632,170.309097,166.018188,169.245453,140.329346,21146158
2010-03-12,170.009094,171.254547,169.309097,170.300003,141.203690,20491075
2010-03-15,169.090912,170.000000,155.636368,167.954544,139.258957,16240301
2010-03-16,167.454544,169.981812,165.854538,169.181824,140.276550,14485526
2010-03-17,170.000000,173.381821,169.454544,172.463638,142.997681,23114982
2010-03-18,172.736359,176.272720,172.545456,175.209091,145.274033,25947581
2010-03-19,175.090912,176.163635,172.445450,173.918182,144.203674,17969248
2010-03-22,172.545456,172.545456,167.454544,170.045456,140.992661,20087584
2010-03-23,170.727264,172.000000,167.636368,168.272720,139.522781,20200125
2010-03-25,167.272720,170.909088,165.927277,169.790909,140.781601,26513751
2010-03-26,170.727264,173.072723,170.045456,172.272720,142.839417,21544611
2010-03-29,171.818176,174.363632,170.818176,173.199997,143.608231,21909514
